,real name,libr_index
0,"алигьери, данте",2
1,"андерсен, х., к.",1
2,"ахматова, а., а.",3
3,"бакланов, г., я.",1
4,"белинский, в., г.",8
5,"бондарев, ю., в.",1
6,"бродский, иосиф",1
7,"булгаков, м.",1
8,"вознесенский, а., а.",1
9,"войнич, э., л.",1
10,"гагарин, ю., а.",3
11,"гаспринский, и.",1
12,"герцен, а., и.",8
13,"гоголь, н., в.",9
14,"гончаров, и., а.",2
15,"горький, максим",1
16,"григорович, д., в.",1
17,"грин, а., с.",4
18,"достоевский, ф., м.",5
19,"жуковский, в., а.",4
20,заболотский,1
21,"заболоцкий, н., а.",2
22,"зощенко, м., м.",1
23,"клюева, н.",1
24,"ключевский, в., о.",2
25,"колумб, в., х.",1
26,"кольцов, а., в.",2
27,"королёва, с., п.",1
28,"короленко, в., г.",8
29,"коцюбинский, м., м.",1
30,"крупская, н., к.",15
31,"крылов, и., а.",6
32,"куратов, и., а.",2
33,"ленин, в., и.",4
34,"лермонтов, м., ю.",16
35,"линдгрен, а.",1
36,"лихачев, д., с.",4
37,"ломоносов, м., в.",4
38,"мамин-сибиряк, д., н.",5
39,"мандельштам, о., э.",1
40,"маркс, к.",2
41,"маршак, с., я.",10
42,митрей,1
43,неруда,1
44,"огарёва, н., п.",2
45,"паустовский, к., г.",3
46,"пешков, а.",1
47,"пушкин, а., с.",81
48,"радищев, а., н.",3
49,"салтыков-щедрин, м., е.",4
50,"солженицын, а., и.",2
51,"суворов, а., и.",1
52,"толстой, л., н.",8
53,"толстой, а., н.",1
54,"тургенев, и., с.",6
55,"украинка, леся",4
56,"ушинский, к., д.",1
57,"фадеев, а., а.",2
58,"фет, а., а.",1
59,"франко, и., я.",1
60,"фрунзе, м., в.",1
61,"фурцева, е., а.",1
62,"чапаев, в.",1
63,"чехов, а., п.",26
64,"шевченко, т., г.",6
65,"шолохов, м., а.",6
66,"югов, а., к.",1
